,dropout_rate,train_batchsize,test_batchsize,k,Learning rate,Momentum,Weight_Decay,BestEpoch,Eval acc,Eval loss,Train acc,Train loss,Test Acc,Test Time,TN,FP,FN,TP
Iteration,0.5195875197479622,16.0,8.0,24.0,2.066880249629082e-05,0.912048644176079,4.697795313163216e-05,47.0,0.9195937367752856,0.21707104123148227,0.9272861981371718,0.1748694680366195,0.9126110876005076,42.1413688659668,2141.0,222.0,191.0,2172.0
Iteration (10),0.7613308272936246,16.0,8.0,24.0,3.5938136638046257e-06,0.9831127954541,5.115584564921065e-05,44.0,0.8336859923825645,0.388150478312387,0.807313717188823,0.4354810872691653,0.8338975878121032,42.550981998443596,1951.0,412.0,373.0,1990.0
Iteration (12),0.6884609776888182,16.0,8.0,25.0,1.1562801312073751e-06,0.9517070260524476,9.132362973092685e-05,49.0,0.6487515869657215,0.6210278798047639,0.6541596104995766,0.6285757757565614,0.6275920440118492,43.99610233306885,1122.0,1241.0,519.0,1844.0
Iteration (14),0.6070532419204909,16.0,8.0,24.0,4.514967772036102e-06,0.9207494624408756,3.1774000706960665e-05,49.0,0.8821413457469318,0.2812322718053867,0.902307366638442,0.243369971259255,0.8836225137537029,39.6866888999939,1941.0,422.0,128.0,2235.0
Iteration (15),0.7921279369194824,16.0,8.0,15.0,3.262222009711673e-05,0.9408374575752456,9.029130972973644e-05,47.0,0.6349978840457046,0.643725194847286,0.6389182895850972,0.6446016866660137,0.6083368599238257,25.46385860443115,1154.0,1209.0,642.0,1721.0
Iteration (16),0.34054371388285304,16.0,8.0,20.0,8.015006961565414e-05,0.9840084962658888,6.911663316143723e-05,49.0,0.9204401184934402,0.20000518898160793,0.926704064352244,0.19122818055279567,0.9168429961912822,34.42980575561524,2091.0,272.0,121.0,2242.0
Iteration (17),0.3658323544898899,16.0,8.0,25.0,1.5892828656229764e-06,0.9228707411011734,2.465411544360969e-05,41.0,0.8732543377063055,0.3083031694489518,0.8829911092294666,0.27834705447590424,0.8681760473973763,42.991395711898804,1889.0,474.0,149.0,2214.0
Iteration (19),0.31067684648069044,16.0,8.0,24.0,7.531420165974376e-05,0.9065065955789946,1.5044403703917389e-05,45.0,0.9242488362251376,0.2001557581716304,0.938452582557155,0.1568860009180147,0.931443080829454,41.09202861785889,2139.0,224.0,100.0,2263.0
Iteration (2),0.5995316910501687,16.0,8.0,22.0,1.3936192742241437e-06,0.972272457149071,5.785438134937903e-05,50.0,0.8421498095641134,0.3699281863865084,0.845787468247248,0.35744133599853234,0.8400338552687263,37.08037281036377,1766.0,597.0,159.0,2204.0
Iteration (20),0.3770587332576392,16.0,8.0,15.0,3.904735236885556e-05,0.9052344102747946,6.572842649582087e-05,47.0,0.9259415996614474,0.19807936144591487,0.9250635055038104,0.18372535489177824,0.926153195090986,25.2653489112854,2130.0,233.0,116.0,2247.0
Iteration (21),0.6114430676724748,16.0,8.0,21.0,3.93182875570577e-06,0.9407948417368804,3.605207703828698e-05,44.0,0.8588658484976723,0.3317590531622309,0.853249364944962,0.3417840928886524,0.8719847651290733,36.76620626449585,1931.0,432.0,173.0,2190.0
Iteration (22),0.4819041463996908,16.0,8.0,23.0,0.0008829699955494091,0.970664827922012,8.313351902882767e-05,9.0,0.5482437579348287,197384024581007.72,0.5019580863674851,138112020551168.45,0.5086754126110876,37.980995178222656,182.0,2181.0,141.0,2222.0
Iteration (24),0.6173103206949535,16.0,8.0,21.0,0.0009794696670695398,0.9195478796842332,7.218242515179961e-05,47.0,0.6273804485823105,0.6462586634349783,0.6272226926333617,0.6506880914680438,0.5935251798561151,34.77956509590149,1090.0,1273.0,648.0,1715.0
Iteration (25),0.32590997952369544,16.0,8.0,17.0,0.0004452958509942655,0.919973473023584,5.3402697557290746e-05,49.0,0.9183241641980532,0.21223611295399805,0.9078640982218458,0.2334702467541136,0.919170545916208,28.377192020416256,2107.0,256.0,126.0,2237.0
Iteration (27),0.5665306554546292,16.0,8.0,16.0,1.1562801312073751e-06,0.9214232326816908,3.223168374062148e-05,40.0,0.7951756242065171,0.4415788969471956,0.8094305673158338,0.42327670335365897,0.8110452814219213,26.39436769485474,1729.0,634.0,259.0,2104.0
Iteration (28),0.582396664440298,16.0,8.0,18.0,5.184593543892913e-05,0.9487229491903072,5.508923742785042e-05,47.0,0.8338975878121032,0.3716294776444912,0.8177392040643523,0.41431028299368006,0.8389758781210327,29.741314172744755,1811.0,552.0,209.0,2154.0
Iteration (29),0.7666013109449269,16.0,8.0,19.0,2.1544346900318827e-06,0.9244775457543024,9.109921714579634e-05,41.0,0.6394413880660178,0.6389643850590888,0.6342082980524978,0.6464234000540303,0.6036817604739738,32.06235909461975,1237.0,1126.0,747.0,1616.0
Iteration (3),0.5774829441873117,16.0,8.0,19.0,9.267593301146884e-05,0.9308189304881056,5.419964970348902e-05,48.0,0.9081675835801946,0.23428387100439024,0.898867485182049,0.2458347426530267,0.9174777824798984,31.679750204086304,2074.0,289.0,101.0,2262.0
Iteration (30),0.5527550955991822,16.0,8.0,20.0,6.51349094627281e-05,0.9028960436056166,5.492042796040581e-05,50.0,0.9143038510368175,0.21952384154119586,0.917495766299746,0.20870825634744083,0.9153618281845112,33.47209429740906,2082.0,281.0,119.0,2244.0
Iteration (31),0.581206830997264,16.0,8.0,17.0,0.00043016357581067953,0.9669750542312551,3.0392504510185175e-05,50.0,0.7566652560304697,0.5280103462003723,0.730207451312447,0.5585345624110943,0.74502750740584,28.926289796829224,1679.0,684.0,521.0,1842.0
Iteration (4),0.7278305749272798,16.0,8.0,17.0,2.7633852900531732e-06,0.985613096872892,9.609262084326856e-05,44.0,0.7903089293271264,0.4621443884684481,0.7695279424216765,0.4901085115029185,0.8004655099449853,29.17358374595642,1830.0,533.0,410.0,1953.0
Iteration (5),0.7955681863120191,16.0,8.0,22.0,2.9612254379880316e-05,0.9325527769190762,1.8026045788386585e-05,49.0,0.7145577655522639,0.5766997571169096,0.6987193056731583,0.5873424304581416,0.6997460854845535,37.73689031600952,1549.0,814.0,605.0,1758.0
Iteration (7),0.7207470207494002,16.0,8.0,17.0,7.742636826811279e-06,0.9639046828191769,7.349740609663633e-05,47.0,0.9052052475666524,0.2492774488042584,0.8911409822184589,0.27987131807609295,0.8975878121032586,29.0663583278656,2131.0,232.0,252.0,2111.0
Iteration (8),0.7389052760496084,16.0,8.0,21.0,2.7633852900531732e-06,0.9526072331726124,1.997700211734024e-05,43.0,0.6333051206093948,0.638428463377894,0.6400825571549535,0.6413199530881304,0.6127803639441388,39.38782167434692,1245.0,1118.0,712.0,1651.0
Iteration (9),0.7614085204982659,16.0,8.0,20.0,4.391800892596086e-06,0.938932566960578,3.340093911974881e-05,49.0,0.6307659754549302,0.6429461915766441,0.6335732430143945,0.6462988317467013,0.6066440964875159,34.208493232727044,1172.0,1191.0,668.0,1695.0
Iteration_17,0.5585133678482008,16.0,8.0,15.0,1.28264983052806e-05,0.9021511199235036,5.0727827763525514e-05,49.0,0.9043588658484976,0.24685266193978325,0.9078640982218458,0.22936705682524475,0.8920863309352518,26.025023460388187,2004.0,359.0,151.0,2212.0
Iteration_18,0.7520078811614759,16.0,8.0,15.0,0.0009727203192450537,0.9134135389081984,3.052299229994619e-05,48.0,0.6362674566229368,0.6475465421045024,0.6264288738357324,0.6528839993335552,0.6038933559035125,25.76235055923462,1141.0,1222.0,650.0,1713.0
Iteration_1ak,0.5749905415363157,16.0,8.0,23.0,2.744343303228363e-05,0.905430285381174,8.340438074795408e-05,45.0,0.9134574693186626,0.21974462701438896,0.9147967823878068,0.20916922652272224,0.9198053322048244,37.967166185379035,2111.0,252.0,127.0,2236.0
Iteration_1k,0.3601748096992953,16.0,8.0,18.0,2.8213076759394713e-06,0.9125230485124712,2.5765804245216063e-05,45.0,0.9024545069826494,0.24945344481738604,0.9287679932260798,0.18642765320175084,0.898011002962336,30.437187671661377,2012.0,351.0,131.0,2232.0
Iteration_2ak,0.3255591816038559,16.0,8.0,20.0,1.4032890847858732e-05,0.9579602373064456,5.4102637004219736e-05,43.0,0.924672027084215,0.2110377558322968,0.9363886536833192,0.15604212873983592,0.920016927634363,34.879230976104736,2132.0,231.0,147.0,2216.0
Iteration_2k,0.3658762512014128,16.0,8.0,24.0,4.2133217438472885e-05,0.9745880721833932,9.653386058160948e-05,46.0,0.9081675835801946,0.2280435006918919,0.9084462320067738,0.22198479468670054,0.9096487515869656,40.83203101158143,2086.0,277.0,150.0,2213.0
Iteration_3k,0.6206933666274259,16.0,8.0,24.0,2.560993100258457e-06,0.9495855737260938,6.816317827444954e-05,50.0,0.8605586119339822,0.31816507326663673,0.8626164267569855,0.3207767084587892,0.8730427422767667,40.677330017089844,1932.0,431.0,169.0,2194.0
Iteration_4,0.35317008198175337,16.0,8.0,16.0,0.0007479522515621821,0.9491338029661444,4.021905492930911e-05,49.0,0.713076597545493,0.5615755807177978,0.70766299745978,0.5710486062091856,0.7141345746931866,27.441934823989868,1550.0,813.0,538.0,1825.0
Iteration_4k,0.6098689055404317,16.0,8.0,17.0,0.00030024617090855494,0.95736694551005,5.126684295995168e-05,50.0,0.7862886161658909,0.4609015267681279,0.7917019475021169,0.4564163893284584,0.7871349978840458,28.826209545135494,1679.0,684.0,322.0,2041.0
Iteration_5,0.5194088033075341,16.0,8.0,16.0,1.1969557023590429e-05,0.9177137759610151,1.4157133183298444e-05,49.0,0.8899703766398644,0.2726984431433491,0.8927286198137171,0.2646902907895244,0.891239949217097,26.94678616523742,1943.0,420.0,94.0,2269.0
Iteration_6k,0.49337976874245504,16.0,8.0,20.0,9.794696670695386e-06,0.9535604206229804,7.374834257668182e-05,46.0,0.9064748201438848,0.244689023802455,0.90770533446232,0.2298659909955028,0.8988573846804909,33.20326995849609,2080.0,283.0,195.0,2168.0
Iteration_7k,0.546097347459976,16.0,8.0,19.0,1.5892828656229765e-05,0.962400416369232,8.493883058225771e-05,49.0,0.8967414303851036,0.2708203788914521,0.8911409822184589,0.2712446667544172,0.9066864155734236,31.238882780075077,2015.0,348.0,93.0,2270.0
